index, memory.used [MiB], memory.total [MiB]
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 3 MiB, 46068 MiB
1, 3 MiB, 46068 MiB
2, 1 MiB, 46068 MiB
3, 3 MiB, 46068 MiB
4, 3 MiB, 46068 MiB
0, 19793 MiB, 46068 MiB
1, 19793 MiB, 46068 MiB
2, 19793 MiB, 46068 MiB
3, 19793 MiB, 46068 MiB
4, 19793 MiB, 46068 MiB
0, 19793 MiB, 46068 MiB
1, 19797 MiB, 46068 MiB
2, 19849 MiB, 46068 MiB
3, 19849 MiB, 46068 MiB
4, 19849 MiB, 46068 MiB
0, 19853 MiB, 46068 MiB
1, 19853 MiB, 46068 MiB
2, 19849 MiB, 46068 MiB
3, 19849 MiB, 46068 MiB
4, 19849 MiB, 46068 MiB
0, 19855 MiB, 46068 MiB
1, 19853 MiB, 46068 MiB
2, 19849 MiB, 46068 MiB
3, 19849 MiB, 46068 MiB
4, 19849 MiB, 46068 MiB
0, 19855 MiB, 46068 MiB
1, 19853 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19849 MiB, 46068 MiB
4, 19849 MiB, 46068 MiB
0, 19855 MiB, 46068 MiB
1, 19853 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19849 MiB, 46068 MiB
4, 19849 MiB, 46068 MiB
0, 19855 MiB, 46068 MiB
1, 19853 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19853 MiB, 46068 MiB
4, 19853 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 3 MiB, 46068 MiB
2, 3 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 1 MiB, 46068 MiB
0, 19793 MiB, 46068 MiB
1, 19813 MiB, 46068 MiB
2, 19791 MiB, 46068 MiB
3, 19791 MiB, 46068 MiB
4, 19811 MiB, 46068 MiB
0, 19849 MiB, 46068 MiB
1, 19889 MiB, 46068 MiB
2, 19797 MiB, 46068 MiB
3, 19797 MiB, 46068 MiB
4, 19891 MiB, 46068 MiB
0, 19849 MiB, 46068 MiB
1, 19889 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19855 MiB, 46068 MiB
4, 19891 MiB, 46068 MiB
0, 19849 MiB, 46068 MiB
1, 27509 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19855 MiB, 46068 MiB
4, 27691 MiB, 46068 MiB
0, 19849 MiB, 46068 MiB
1, 27509 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19855 MiB, 46068 MiB
4, 27691 MiB, 46068 MiB
0, 19849 MiB, 46068 MiB
1, 27509 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19855 MiB, 46068 MiB
4, 27691 MiB, 46068 MiB
0, 19853 MiB, 46068 MiB
1, 27509 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19855 MiB, 46068 MiB
4, 27691 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27515 MiB, 46068 MiB
2, 19855 MiB, 46068 MiB
3, 19855 MiB, 46068 MiB
4, 27691 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27635 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 5665 MiB, 46068 MiB
4, 27691 MiB, 46068 MiB
0, 1 MiB, 46068 MiB
1, 1 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 27751 MiB, 46068 MiB
0, 18411 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 14753 MiB, 46068 MiB
3, 14809 MiB, 46068 MiB
4, 26891 MiB, 46068 MiB
0, 18509 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 14809 MiB, 46068 MiB
3, 14809 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 18529 MiB, 46068 MiB
1, 10823 MiB, 46068 MiB
2, 14809 MiB, 46068 MiB
3, 14809 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 26149 MiB, 46068 MiB
1, 19813 MiB, 46068 MiB
2, 14809 MiB, 46068 MiB
3, 14809 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 26149 MiB, 46068 MiB
1, 19891 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 26149 MiB, 46068 MiB
1, 19891 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 26149 MiB, 46068 MiB
1, 19891 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 26153 MiB, 46068 MiB
1, 19891 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 26213 MiB, 46068 MiB
1, 27691 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27691 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27695 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27695 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27695 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27695 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 27695 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 3 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 3 MiB, 46068 MiB
1, 3 MiB, 46068 MiB
2, 1 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 3 MiB, 46068 MiB
0, 10803 MiB, 46068 MiB
1, 14705 MiB, 46068 MiB
2, 10823 MiB, 46068 MiB
3, 10803 MiB, 46068 MiB
4, 5675 MiB, 46068 MiB
0, 19889 MiB, 46068 MiB
1, 14809 MiB, 46068 MiB
2, 10863 MiB, 46068 MiB
3, 10863 MiB, 46068 MiB
4, 5675 MiB, 46068 MiB
0, 19889 MiB, 46068 MiB
1, 14809 MiB, 46068 MiB
2, 10863 MiB, 46068 MiB
3, 10863 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 19889 MiB, 46068 MiB
1, 14809 MiB, 46068 MiB
2, 10863 MiB, 46068 MiB
3, 10863 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 19889 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 3 MiB, 46068 MiB
4, 13463 MiB, 46068 MiB
0, 19889 MiB, 46068 MiB
1, 3 MiB, 46068 MiB
2, 3 MiB, 46068 MiB
3, 3 MiB, 46068 MiB
4, 19849 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 14705 MiB, 46068 MiB
2, 10763 MiB, 46068 MiB
3, 10763 MiB, 46068 MiB
4, 19849 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 14809 MiB, 46068 MiB
2, 10763 MiB, 46068 MiB
3, 10763 MiB, 46068 MiB
4, 19851 MiB, 46068 MiB
0, 5675 MiB, 46068 MiB
1, 14809 MiB, 46068 MiB
2, 10763 MiB, 46068 MiB
3, 10763 MiB, 46068 MiB
4, 19851 MiB, 46068 MiB
0, 5675 MiB, 46068 MiB
1, 14809 MiB, 46068 MiB
2, 10763 MiB, 46068 MiB
3, 10763 MiB, 46068 MiB
4, 19851 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 3 MiB, 46068 MiB
1, 3 MiB, 46068 MiB
2, 3 MiB, 46068 MiB
3, 3 MiB, 46068 MiB
4, 3 MiB, 46068 MiB
0, 10803 MiB, 46068 MiB
1, 14703 MiB, 46068 MiB
2, 10803 MiB, 46068 MiB
3, 10803 MiB, 46068 MiB
4, 5675 MiB, 46068 MiB
0, 19833 MiB, 46068 MiB
1, 14809 MiB, 46068 MiB
2, 10863 MiB, 46068 MiB
