index, memory.used [MiB], memory.total [MiB]
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 3 MiB, 46068 MiB
1, 1 MiB, 46068 MiB
2, 3 MiB, 46068 MiB
3, 3 MiB, 46068 MiB
4, 3 MiB, 46068 MiB
0, 10667 MiB, 46068 MiB
1, 10667 MiB, 46068 MiB
2, 10667 MiB, 46068 MiB
3, 10667 MiB, 46068 MiB
4, 10667 MiB, 46068 MiB
0, 18957 MiB, 46068 MiB
1, 18953 MiB, 46068 MiB
2, 18953 MiB, 46068 MiB
3, 18953 MiB, 46068 MiB
4, 18953 MiB, 46068 MiB
0, 18957 MiB, 46068 MiB
1, 18957 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 18981 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19031 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19035 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19035 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 19035 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19035 MiB, 46068 MiB
3, 19035 MiB, 46068 MiB
4, 19035 MiB, 46068 MiB
0, 19464 MiB, 46068 MiB
1, 19464 MiB, 46068 MiB
2, 19466 MiB, 46068 MiB
3, 19466 MiB, 46068 MiB
4, 19035 MiB, 46068 MiB
0, 19033 MiB, 46068 MiB
1, 19033 MiB, 46068 MiB
2, 19035 MiB, 46068 MiB
3, 19035 MiB, 46068 MiB
4, 19035 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 10667 MiB, 46068 MiB
1, 10711 MiB, 46068 MiB
2, 10667 MiB, 46068 MiB
3, 10667 MiB, 46068 MiB
4, 10711 MiB, 46068 MiB
0, 18953 MiB, 46068 MiB
1, 18911 MiB, 46068 MiB
2, 18931 MiB, 46068 MiB
3, 18931 MiB, 46068 MiB
4, 18907 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 18911 MiB, 46068 MiB
2, 19031 MiB, 46068 MiB
3, 19031 MiB, 46068 MiB
4, 18913 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 18937 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 18961 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 18985 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 18961 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 18985 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 18961 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 18987 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 19041 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 19041 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 19031 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 24927 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 0 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24981 MiB, 46068 MiB
0, 10687 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 24991 MiB, 46068 MiB
0, 17653 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 25051 MiB, 46068 MiB
0, 17663 MiB, 46068 MiB
1, 8135 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 19037 MiB, 46068 MiB
4, 25051 MiB, 46068 MiB
0, 17663 MiB, 46068 MiB
1, 13937 MiB, 46068 MiB
2, 19037 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 25051 MiB, 46068 MiB
0, 17665 MiB, 46068 MiB
1, 13937 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 17665 MiB, 46068 MiB
1, 13961 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 17665 MiB, 46068 MiB
1, 13961 MiB, 46068 MiB
2, 8117 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 13961 MiB, 46068 MiB
2, 14011 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 13961 MiB, 46068 MiB
2, 14011 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 13961 MiB, 46068 MiB
2, 14011 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 13961 MiB, 46068 MiB
2, 14011 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 14011 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 14013 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
0, 23525 MiB, 46068 MiB
1, 0 MiB, 46068 MiB
2, 0 MiB, 46068 MiB
3, 0 MiB, 46068 MiB
4, 0 MiB, 46068 MiB
